"amp not" 27
"another bch" 33
"another nigga" 26
"back bch" 28
"bad bch" 190
"bad bches" 143
"basic bch" 27
"basic bches" 28
"bch ainot" 25
"bch always" 27
"bch amp" 34
"bch bad" 29
"bch bch" 61
"bch boy" 25
"bch call" 26
"bch cause" 24
"bch could" 27
"bch fuck" 89
"bch gon" 26
"bch good" 25
"bch let" 27
"bch lmao" 30
"bch lol" 82
"bch look" 60
"bch love" 25
"bch mad" 25
"bch next" 23
"bch nigga" 187
"bch not" 393
"bch please" 28
"bch pussy" 27
"bch still" 23
"bch talk" 26
"bch tell" 32
"bch think" 37
"bch try" 35
"bch wan" 28
"bch wanot" 30
"bches amp" 25
"bches fuck" 31
"bches love" 68
"bches money" 25
"bches not" 122
"bches talk" 27
"bches thing" 30
"bches think" 35
"bches wanot" 30
"best friend" 23
"big booty" 37
"bout bch" 23
"call bch" 74
"call hoe" 27
"cause not" 28
"charlie brown" 27
"charlie crist" 35
"charlie sheen" 35
"could not" 76
"crazy bch" 31
"cut bch" 39
"damn bch" 25
"dat bch" 67
"derek jeter" 24
"dis bch" 40
"dumb bch" 88
"dumb bches" 24
"dumb hoe" 23
"early bird" 28
"eat pussy" 148
"every bch" 29
"every time" 40
"fat bch" 49
"fat bches" 37
"flappy bird" 61
"fuck bch" 221
"fuck bches" 72
"fuck faggot" 25
"fuck hoe" 75
"fuck nigga" 43
"fuck not" 33
"fuck pussy" 28
"fuck retard" 27
"fuck right" 31
"girl hoe" 24
"girl not" 33
"give bch" 26
"give fuck" 42
"good girl" 34
"good pussy" 41
"happy bihday" 51
"hate bch" 37
"hate bches" 48
"high school" 30
"hoe ainot" 25
"hoe amp" 25
"hoe fuck" 27
"hoe gon" 30
"hoe hoe" 77
"hoe lol" 51
"hoe look" 26
"hoe love" 42
"hoe nigga" 58
"hoe not" 241
"karma bch" 28
"last night" 54
"let bch" 26
"let hoe" 33
"life bch" 27
"lil bch" 101
"lol bch" 26
"lol not" 25
"look bch" 38
"look good" 36
"love bch" 32
"love hoe" 50
"ltle bch" 124
"main bch" 36
"man not" 25
"many hoe" 24
"new bch" 24
"nigga bch" 67
"nigga bches" 34
"nigga fuck" 34
"nigga hoe" 28
"nigga not" 99
"not bch" 154
"not bches" 29
"not call" 33
"not care" 46
"not eat" 23
"not even" 180
"not ever" 26
"not fuck" 104
"not give" 46
"not gon" 40
"not hoe" 114
"not let" 45
"not love" 53
"not loyal" 75
"not mean" 30
"not never" 26
"not nothing" 28
"not play" 35
"not pussy" 47
"not really" 25
"not stand" 45
"not talk" 47
"not tell" 36
"not think" 27
"not trust" 58
"not understand" 27
"not wan" 33
"not wanot" 87
"not worry" 25
"people not" 28
"pussy good" 32
"pussy nigga" 57
"pussy not" 67
"real bch" 35
"real nigga" 58
"really not" 31
"right pussy" 42
"shut bch" 34
"shut fuck" 40
"side bch" 47
"side hoe" 47
"son bch" 46
"still not" 30
"stupid bch" 60
"suck dick" 71
"talk bout" 40
"talk hoe" 26
"talk trash" 25
"talkin bout" 27
"tell bch" 52
"tell hoe" 27
"think bch" 25
"time bch" 24
"trash talk" 34
"trust bch" 31
"trust hoe" 25
"turn inoto" 38
"ugly bch" 42
"ugly bches" 31
"ugly hoe" 27
"uncle tom" 29
"wan fuck" 26
"wanot bch" 26
"whe bch" 38
"whe people" 23
"whe trash" 101
"yall bches" 27
"yall hoe" 29
"year old" 30
