act 201
actually 76
ago 52
ainot 254
almost 55
already 123
always 284
america 51
amp 844
another 176
anyone 58
anything 103
ape 53
around 195
asian 50
ask 226
ass 126
attenotion 52
away 100
baby 179
back 468
bad 627
bae 81
bag 65
ball 87
basic 90
bch 8235
bches 3083
beat 170
become 53
bed 63
believe 84
best 184
bet 101
big 314
bihday 82
bird 590
black 229
block 65
blow 56
body 82
booty 73
bout 335
boy 252
boyfriend 71
break 181
bring 150
bro 142
broke 60
brother 55
brown 75
brownie 129
bruh 139
buy 159
call 622
canot 95
car 128
care 151
cat 69
catch 117
cause 300
change 96
charlie 282
cheat 108
check 66
chick 92
chill 78
class 78
clean 51
close 60
club 81
cold 67
color 144
colored 62
cool 103
coon 81
could 269
couple 68
cracker 126
crazy 163
cry 118
cunot 253
cut 130
cute 126
cuz 195
dad 63
damn 330
dat 308
date 87
day 444
dead 80
dem 93
deserve 52
dick 350
die 144
dis 114
diy 68
dog 106
donot 299
dress 77
drink 86
drive 82
drop 93
drug 50
drunk 57
dude 176
dumb 262
dyke 101
early 64
eat 407
eher 80
else 78
end 83
enough 61
even 390
ever 264
every 289
everybody 127
everyone 95
everything 92
eye 98
face 205
fact 85
fag 277
faggot 530
fake 112
fall 56
family 53
fan 103
fat 223
favore 67
feel 252
feeling 54
female 144
fight 151
find 220
fine 66
finna 62
first 177
flappy 61
fly 57
folk 57
follow 125
food 76
forget 81
free 118
friend 198
fronot 56
fuck 2043
fuckin 254
fucking 198
full 96
fun 75
funny 134
game 272
gay 145
gettin 67
ghetto 265
girl 670
girlfriend 79
give 418
god 155
gon 438
good 679
great 101
grow 69
guess 106
guy 246
haha 147
hair 117
half 79
hand 100
hang 51
happen 67
happy 178
hard 129
hat 81
hate 475
hea 66
head 195
hear 122
hell 141
hella 52
help 66
hey 105
high 151
hoe 4224
hoes 61
hold 70
home 131
hope 119
hot 122
house 133
idk 70
ill 65
ima 130
imma 60
inoto 247
instagram 57
instead 51
ion 86
jihadi 64
job 104
joke 57
jus 98
keep 261
kick 66
kid 173
kill 209
kiss 59
kno 54
lady 90
lame 64
last 194
laugh 75
least 60
leave 189
lerally 57
let 463
lie 133
life 316
light 84
lil 271
line 86
listen 76
live 148
lmao 373
lmfao 92
lol 1070
long 123
look 759
lookin 65
lose 150
lot 123
love 762
low 59
loyal 134
ltle 322
mad 201
main 91
man 559
many 179
matter 53
maybe 82
mean 227
meet 98
men 89
might 121
mind 87
mine 64
minute 53
miss 117
mock 106
mom 137
money 281
monkey 172
morning 76
mother 54
mouth 85
move 95
movie 67
much 222
music 83
must 82
nah 130
name 201
nasty 74
naw 66
negro 51
never 446
new 298
next 176
nicca 168
niccas 121
nice 92
nig 114
nigga 1713
niggah 279
niggas 279
niggaz 54
nigger 323
nigguh 95
night 182
nip 53
nobody 112
none 63
not 4950
nothing 150
number 71
obama 59
okay 75
old 220
omg 78
open 78
oreo 104
outside 59
outta 78
pass 53
pay 220
people 422
person 78
phone 141
pic 130
pick 77
picture 97
place 77
play 311
please 125
poinot 72
pop 93
post 82
ppl 59
pregnanot 66
pretty 125
probably 91
problem 101
pull 111
pussy 2212
put 284
queer 94
quick 51
racist 70
rap 57
ratchet 63
rather 68
read 68
ready 70
real 423
realize 53
really 421
reason 74
red 110
redneck 108
relationship 67
remember 104
respect 69
retard 304
retarded 104
rich 61
ride 54
right 394
room 52
run 159
sad 58
save 72
saw 74
school 178
season 54
second 50
seem 57
self 58
sell 85
send 79
serious 54
sex 119
sexy 60
shoot 85
show 193
shut 177
sick 70
side 185
since 105
single 93
slap 70
sleep 118
slut 59
smell 67
smh 203
smoke 101
somebody 73
someone 199
sometimes 58
son 108
song 131
sorry 114
sound 109
speak 58
sta 145
stand 100
state 59
stay 155
steal 59
stfu 102
stick 70
still 478
stop 343
straight 113
street 58
stupid 244
suck 177
suppose 53
sure 108
swear 141
sweet 51
talk 596
talkin 67
taste 61
team 102
tell 534
text 114
thank 72
thanks 88
thats 140
thing 252
think 659
thirsty 54
tho 245
though 107
throw 158
till 51
time 493
tire 58
today 218
together 61
tomorrow 55
tonight 129
top 94
trash 1154
treat 62
true 67
trust 137
try 355
tryna 178
turn 194
twat 53
tweet 262
twter 252
type 98
ugly 262
uncle 51
understand 61
unless 51
unotil 82
video 79
voice 59
wake 85
walk 139
wan 348
wanot 581
wanoted 79
wanots 79
watch 223
water 62
way 234
weak 53
wear 172
weed 89
week 97
weekend 53
well 309
wenot 108
wet 56
whe 377
whole 91
whout 78
wife 86
win 132
wish 134
woman 260
wonder 76
word 131
work 243
world 117
worry 68
wow 75
wrong 125
wtf 121
yall 228
yankee 277
yea 84
yeah 212
year 223
yellow 259
yes 127
young 111
